state,state_fips,state_id,year,first_treat_year,gname,treated_post,event_time,population,deaths_allcause,deaths_amenable,deaths_nonamenable,deaths_external,crude_allcause,crude_amenable,crude_nonamenable,crude_external,aa_allcause,aa_amenable,aa_nonamenable,aa_external
Louisiana,22,19,2012,2016,2016,0,-4,2413029,12355,8246,4109,2107,512.0120810814955,341.7281764951851,170.2839045863104,87.31764102296326,453.92,291.05,162.87,88.13
Louisiana,22,19,2013,2016,2016,0,-3,2425785,12883,8500,4383,2240,531.0858134583237,350.402034805228,180.6837786530958,92.34124211337773,468.4,296.85,171.54999999999995,93.57
Louisiana,22,19,2014,2016,2016,0,-2,2436696,13129,8625,4504,2339,538.8033632426859,353.96290714968137,184.84045609300463,95.99063650122953,474,299.79,174.20999999999998,96.04
Louisiana,22,19,2015,2016,2016,0,-1,2447021,13150,8520,4630,2482,537.3881139557036,348.1784586237715,189.20965533193217,101.42945238312217,472.14,291.9,180.24,102.77
Louisiana,22,19,2016,2016,2016,1,0,2450741,13216,8396,4820,2625,539.2654711370969,342.5902614760189,196.67520966107801,107.11046169301449,475.06,287.04,188.01999999999998,108.91
Louisiana,22,19,2017,2016,2016,1,1,2443400,13372,8331,5041,2746,547.2701972661047,340.9593189817468,206.31087828435787,112.38438241794222,481.8,284.94,196.86,114.48
Louisiana,22,19,2018,2016,2016,1,2,2420280,13071,8081,4990,2712,540.0614804898606,333.8869882823475,206.1744922075132,112.05315087510536,473.89,277.02,196.87,114.04
Louisiana,22,19,2019,2016,2016,1,3,2401099,13022,7822,5200,2855,542.3349891029067,325.76749230248316,216.56749680042347,118.9038852625402,476.7,268.9,207.8,122.48
Maine,23,20,2010,2019,2019,0,-9,726676,2700,1769,931,398,371.5548607632563,243.43724025562975,128.1176205076265,54.76993873473185,297.3,182.16,115.14000000000001,54.81
Maine,23,20,2011,2019,2019,0,-8,726805,2723,1746,977,443,374.6534489993877,240.22949759564122,134.42395140374651,60.951699561780664,300.09,179.03,121.05999999999997,61.49
Maine,23,20,2012,2019,2019,0,-7,721205,2753,1725,1028,455,381.72225650127217,239.18303395012515,142.53922255114702,63.08885823032286,303.35,176.36,126.99000000000001,63.68
Maine,23,20,2013,2019,2019,0,-6,718164,2744,1712,1032,509,382.0854289549462,238.38566121387314,143.6997677410731,70.87517614361066,304.1,175.67,128.43000000000004,70.98
Maine,23,20,2014,2019,2019,0,-5,714983,2784,1750,1034,493,389.37988735396505,244.76106424908005,144.61882310488502,68.95268838559798,310.45,179.23,131.22,70.96
Maine,23,20,2015,2019,2019,0,-4,711658,2954,1765,1189,606,415.0870221370377,248.01238797287462,167.07463416416314,85.15326181958187,332.96,180.36,152.59999999999997,86.36
Maine,23,20,2016,2019,2019,0,-3,708799,3013,1788,1225,635,425.0852498381064,252.25769223715045,172.82755760095597,89.58816251151596,344.6,182.84,161.76000000000002,94.59
Maine,23,20,2017,2019,2019,0,-2,707397,3141,1802,1339,751,444.02223928006475,254.73673199066437,189.28550728940044,106.16386555215811,358.72,180.38,178.34000000000003,112.95
Maine,23,20,2018,2019,2019,0,-1,704877,3013,1776,1237,684,427.4504629885782,251.95885239552436,175.49161059305382,97.03820666584383,344.39,181.56,162.82999999999998,99.96
Maine,23,20,2019,2019,2019,1,0,703173,3124,1774,1350,712,444.2718932609756,252.28499956625183,191.9868936947238,101.25530985973579,362.21,184.26,177.95,106.29
Maryland,24,21,2010,2014,2014,0,-4,3155586,11267,7732,3535,1793,357.04937212929707,245.02580503272608,112.02356709657097,56.81987434346585,315.23,208.74,106.49000000000001,57.23
Maryland,24,21,2011,2014,2014,0,-3,3190324,11208,7634,3574,1816,351.31228050818663,239.28604116697866,112.02623934120797,56.922118255073784,307.4,201.67,105.72999999999999,56.77
Maryland,24,21,2012,2014,2014,0,-2,3210004,11443,7751,3692,1972,356.4793065678423,241.46387356526657,115.01543300257569,61.432945254896886,311.17,202.79,108.38000000000002,61.39
Maryland,24,21,2013,2014,2014,0,-1,3225232,11578,7767,3811,2051,358.9819275016495,240.81988520515733,118.16204229649215,63.59232452115073,312.38,201.13,111.25,63.37
Maryland,24,21,2014,2014,2014,1,0,3241388,11762,7800,3962,2133,362.86923996756946,240.637652758633,122.23158720893642,65.80514273514926,315.73,200.53,115.20000000000002,66.01
Maryland,24,21,2015,2014,2014,1,1,3254482,12021,7659,4362,2480,369.3675368307461,235.3369906485886,134.0305461821574,76.20260305633893,320.55,193.85,126.70000000000002,76.61
Maryland,24,21,2016,2014,2014,1,2,3244648,12929,7777,5152,3242,398.4715753449989,239.68701689674813,158.78455844825078,99.91838868191557,347.53,196.02,151.50999999999996,100.63
Maryland,24,21,2017,2014,2014,1,3,3259312,13078,7605,5473,3468,401.25032522201,233.33145154560225,167.91887367640777,106.40282366339889,349.75,189.99,159.76,106.64
Maryland,24,21,2018,2014,2014,1,4,3240074,13052,7543,5509,3501,402.8303057275852,232.8033248623334,170.02698086525183,108.05308767639256,351.57,189.29,162.28,107.96
Maryland,24,21,2019,2014,2014,1,5,3225448,13031,7396,5635,3597,404.00589313484517,229.3014799804554,174.70441315438973,111.51939203484292,351.49,185.52,165.97,111.31
Massachusetts,25,22,2010,2014,2014,0,-4,3548094,10621,6991,3630,1659,299.343816708351,197.035366030325,102.30845067802599,46.75749853301519,260.16,164.38,95.78000000000003,46.65
Massachusetts,25,22,2011,2014,2014,0,-3,3581045,10742,6924,3818,1745,299.96830534103873,193.35138206864198,106.61692327239676,48.72879285236572,259.25,159.58,99.66999999999999,48.75
Massachusetts,25,22,2012,2014,2014,0,-2,3600674,10672,6701,3971,1698,296.3889538458633,186.10404607581802,110.28490777004528,47.15783767150261,256.18,152.86,103.32,47.28
Massachusetts,25,22,2013,2014,2014,0,-1,3618695,10992,6764,4228,1851,303.75591200695277,186.91821222844146,116.83769977851131,51.15103649243719,262.16,152.72,109.44000000000003,51.49
Massachusetts,25,22,2014,2014,2014,1,0,3640043,11467,6745,4722,2134,315.0237510930503,185.30000881857714,129.72374227447312,58.62568107025109,272.61,150.19,122.42000000000002,59.33
Massachusetts,25,22,2015,2014,2014,1,1,3661088,11829,6734,5095,2549,323.1006738980325,183.9343932732565,139.16628062477602,69.62411173946106,280.04,148.08,131.96,70.93
Massachusetts,25,22,2016,2014,2014,1,2,3655462,12025,6491,5534,3054,328.9597867519892,177.56989403801762,151.38989271397156,83.54621112187735,287.37,142.53,144.84,85.61
Massachusetts,25,22,2017,2014,2014,1,3,3680856,12288,6614,5674,3056,333.83539046352263,179.68646423549305,154.14892622802955,83.02416611788128,291.76,144.45,147.31,85.11
Massachusetts,25,22,2018,2014,2014,1,4,3694263,12096,6482,5614,3161,327.42660714735257,175.46124896900952,151.96535817834302,85.56510459596406,284.23,140.41,143.82000000000002,87.12
Massachusetts,25,22,2019,2014,2014,1,5,3679650,12053,6519,5534,3068,327.55832755832756,177.16358892829481,150.39473863003275,83.37749514220101,284.46,142.3,142.15999999999997,84.3
Michigan,26,23,2010,2014,2014,0,-4,5204153,21722,14517,7205,3446,417.39741318135725,278.95029219932616,138.4471209820311,66.2163468291574,355.52,226.28,129.23999999999998,66.33
Michigan,26,23,2011,2014,2014,0,-3,5198137,22119,14781,7338,3575,425.51783456265196,284.3518745273547,141.16596003529727,68.77463983731094,358.12,226.32,131.8,69.83
Michigan,26,23,2012,2014,2014,0,-2,5175101,21650,14361,7289,3430,418.3493230373668,277.5018303990589,140.84749263830793,66.27889967751354,349.64,218.46,131.17999999999998,67.6
Michigan,26,23,2013,2014,2014,0,-1,5157924,22098,14537,7561,3728,428.42818157072503,281.8381969179848,146.58998465274013,72.2771409582615,356.84,220.67,136.17,72.86
Michigan,26,23,2014,2014,2014,1,0,5152376,22484,14860,7624,3812,436.38119578229544,288.4106284168702,147.97056736542518,73.98528368271259,361.32,224.16,137.16,74.5
Michigan,26,23,2015,2014,2014,1,1,5157183,22787,14648,8139,4095,441.849746266518,284.03103011857445,157.81871614794355,79.40381405895428,367.1,220.26,146.84000000000003,80.44
Michigan,26,23,2016,2014,2014,1,2,5149843,23394,14761,8633,4560,454.2662756903463,286.6300972670429,167.6361784233034,88.54638869573306,377.96,221.1,156.85999999999999,90.26
Michigan,26,23,2017,2014,2014,1,3,5147659,23319,14290,9029,4861,453.00203451704937,277.6019157446132,175.40011877243617,94.43127448807311,378.17,214.05,164.12,95.83
